id,eng_track_title,mood/0,mood/1,mood/2,mood/3,mood/4,mood/5
121,Her,Falling In Love,Happy,Chill,,,
122,Singularity,Chill,Sad,,,,
123,Fake Love,Sad,Angry,,,,
124,The Truth Untold,Sad,Inspiring,,,,
125,Trivia: Seesaw,Sad,Chill,,,,
126,Tear,Powerful,Sad,,,,
127,Epiphany,Inspiring,Chill,Healing,,,
128,I'm Fine,Sad,Powerful,,,,
129,IDOL,Powerful,Angry,Energetic,,,
130,Answer: Love Myself,Falling In Love,Happy,Chill,Inspiring,Healing,
131,Magic Shop,Falling In Love,Happy,Chill,Inspiring,Healing,
132,Best of Me,Energetic,Inspiring,Falling In Love,,,
133,Airplane pt.2 ,Energetic,Happy,,,,
134,Go Go,Energetic,Happy,,,,
135,Anpanman,Happy,Energetic,Falling In Love,,,
136,MIC Drop,Powerful,Angry,Energetic,,,
137,DNA (Pedal 2 LA Mix),Energetic,Happy,Falling In Love,,,
138,FAKE LOVE (Rocking Vibe Mix),Sad,Angry,,,,
139,MIC Drop (Steve Aoki Remix),Powerful,Angry,Energetic,,,
140,IDOL (Remix) ft. Nicki Minaj,Powerful,Angry,Energetic,,,
141,Intro: Persona,Falling In Love,Energetic,Powerful,,,
142,Boy With Luv ft. Halsey,Energetic,Happy,Falling In Love,,,
143,Mikrokosmos,Inspiring,Healing,Falling In Love,Happy,Chill,
144,Make It Right,Healing,Chill,Falling In Love,Happy,Inspiring,Healing
145,HOME,Chill,Inspiring,Falling In Love,,,
146,Jamais Vu,Sad,Chill,,,,
147,Dionysus,Energetic,Angry,Powerful,,,
148,Thanks To Notes,Inspiring,,,,,
149,Intro: Persona,Falling In Love,Energetic,Powerful,,,
150,Boy With Luv ft. Halsey,Energetic,Happy,Falling In Love,,,
151,Make It Right,Healing,Chill,Falling In Love,Happy,Inspiring,
152,Jamais Vu,Sad,Chill,,,,
153,Interlude: Shadow,Inspiring,Angry,,,,
154,Dionysus,Energetic,Angry,Powerful,,,
155,Black Swan,Healing,Sad,Inspiring,,,
156,Filter,Energetic,Falling In Love,,,,
157,My Time,Inspiring,Sad,,,,
158,Louder than bombs,Powerful,Sad,Healing,,,
159,ON,Energetic,Powerful,Angry,,,
160,UGH!,Powerful,Energetic,Angry,,,
161,00:00 (Zero O'Clock),Chill,Inspiring,Healing,Sad,,
162,Inner Child,Chill,Inspiring,Healing,,,
163,Friends,Energetic,Happy,Inspiring,Healing,,
164,Moon,Energetic,Happy,Inspiring,Falling In Love,Healing,
165,Respect,Energetic,Happy,Inspiring,,,
166,We Are Bulletproof: The Eternal,Healing,Sad,Inspiring,,,
167,Outro: Ego ,Energetic,Happy,,,,
168,ON (Remix) ft. Sia ,Energetic,Powerful,Angry,,,
169,Dynamite,Energetic,Happy,Healing,,,
170,Dynamite (Instrumental),Happy,Healing,,,,
171,Dynamite (Acoustic Remix),Happy,Healing,,,,
172,Dynamite (EDM Remix),Energetic,Happy,Healing,,,
173,Dynamite (Tropical Remix),Energetic,Happy,Healing,,,
174,Dynamite (Poolside Remix),Energetic,Happy,Healing,,,
175,Dynamite,Energetic,Happy,Healing,,,
176,Dynamite (Instrumental),Happy,Healing,,,,
177,Dynamite (Slow Jam Remix),Happy,Healing,,,,
178,Dynamite (Midnight Remix),Happy,Healing,,,,
179,Dynamite (Retro Remix),Energetic,Happy,Healing,,,
180,Dynamite (Bedroom Remix),Happy,Healing,,,,
181,Life Goes On,Healing,Inspiring,Chill,,,
182,Fly To My Room,Healing,Inspiring,Chill,,,
183,Blue & Grey,Healing,Sad,,,,
184,Skit,Healing,Inspiring,,,,
185,Telepathy,Energetic,Happy,Healing,,,
186,Dis-ease,Energetic,Happy,Healing,,,
187,Stay,Energetic,Happy,Healing,,,
188,Dynamite,Energetic,Happy,Healing,,,
189,Butter,Energetic,Happy,Healing,,,
190,Butter (Hotter Remix),Energetic,Happy,Healing,,,
191,Butter (Sweeter Remix),Energetic,Happy,Healing,,,
192,Butter (Cooler Remix),Energetic,Happy,Healing,,,
193,Butter (Instrumental),Energetic,Happy,Healing,,,
194,Permission to Dance,Energetic,Happy,Healing,,,
